
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190112T2100,9.170605,288.43497
20190112T2200,9.20489,287.05698
20190112T2300,9.289241,284.33545
20190113T0000,8.807384,282.45825
20190113T0100,9.831073,279.36652
20190113T0200,9.472592,280.95407
20190113T0300,9.729337,282.46494
20190113T0400,10.163661,283.07913
20190113T0500,10.1242285,286.64505
20190113T0600,9.837174,287.14557
20190113T0700,10.113852,284.31104
20190113T0800,9.73242,279.46234
20190113T0900,10.049875,275.7106
20190113T1000,10.071743,276.84277
20190113T1100,10.1242285,273.96466
20190113T1200,10.720075,278.58362
20190113T1300,10.307764,272.22397
20190113T1400,10.82959,274.2364
20190113T1500,11.303982,271.52075
20190113T1600,11.007271,267.91745
20190113T1700,11.535164,274.4749
20190113T1800,11.574109,279.95062
20190113T1900,11.112605,285.6621
20190113T2000,11.292918,286.99084
20190113T2100,11.812705,283.21277
20190113T2200,12.15648,285.7512
20190113T2300,11.607756,292.8097
20190114T0000,10.385568,308.74597
20190114T0100,10.339246,311.86365
20190114T0200,9.924717,310.91437
20190114T0300,10.104455,308.57126
20190114T0400,9.885848,308.84082
20190114T0500,9.484725,312.43622
20190114T0600,9.068627,311.42368
20190114T0700,9.167879,309.24542
20190114T0800,9.209778,311.47855
20190114T0900,8.982761,313.64682
20190114T1000,8.345058,314.029
20190114T1100,7.7833157,312.91745
20190114T1200,6.8249545,309.05316
20190114T1300,9.183136,321.6325
20190114T1400,9.1836815,324.75244
20190114T1500,8.381527,324.22394
20190114T1600,7.742093,324.46234
20190114T1700,6.0,323.13013
20190114T1800,5.060632,322.22433
20190114T1900,4.8104053,316.6847
20190114T2000,4.7423625,312.43622
20190114T2100,4.4204073,307.64764
20190114T2200,4.494441,302.27563
20190114T2300,4.5177426,297.69946
20190115T0000,5.124451,287.0205
20190115T0100,5.565968,287.78387
20190115T0200,5.8240876,285.9454
20190115T0300,6.0876927,284.26453
20190115T0400,6.063827,283.34872
20190115T0500,5.632051,276.1155
20190115T0600,5.60803,266.93353
20190115T0700,6.063827,256.65128
20190115T0800,6.484597,252.96223
20190115T0900,6.9375787,254.96219
